text,label
太太太TM，不开心了！困死宝宝了，那么心大的李二鑫快回来，再不回来真神经衰弱了,0
这样的垃圾教练也配得上国家队，这TM是谁的瞎了狗眼,0
[星星][星星][星星][半星]，把它当恐怖片时迟疑看不看。终于还是看了，前面吓人，后面气人。感触良多：自私的人最可怕；团结；人活着真累；好大叔居然死了；坏大叔终于死了；男友必须要给力；番茄酱的血很有特点；小女孩的隧道歌声不合逻辑。还有微博限字数太讨厌→_→,2
心情很不美丽，总会因为工作上的一些事情让自己很压抑,1
今天最忧伤的消息是，蜀留香的抵用券，涨！价！了！,1
一个细小的动作，便可让你砰然心动，一句突然的言语，也能让你所有的幻想化为乌有～～～,4
我们家暖气片烫手……为什么我还觉得冷……,5
追大妈的“跑跑叔”竟然是小偷？？！！,5
太田、里见联军以逸待劳，没等后北条势站稳脚跟，就挥军掩杀过去。,3
看完这个场馆图我简直人生无望了啊！我发现我根本看不见人好么！,0
申请内容不明确的将告知申请人作出更改、补充。,3
妞醒了，居然自己在干这，昨晚练琴太晚魔杖了吧,5
连着几天蒙蒙细雨，冬季里的南京愈加感觉冷了，宿舍楼边上的落叶已经叠了又叠，留下的脚印也已深深地埋在下面，不见踪际。寒风吹来，本就不是阳光的心里又落了一缕尘埃。陌生的城市里，唯有梦中才是最熟悉的感觉。,1
乔布斯虽死，但只要苹果公司一直在，他都应被后人铭记。,4
"回想后怕...生命可贵...好好学习...天天向上...珍惜生命...国庆不要一个人到海边玩水...不要踩岸边的滑泥巴摔跤...如果摔跤一定拼命往岸上方向蹭不要顺势掉进水里...[祈祷]感谢有惊无险...全身泥巴站起来时大喊亦无人应,不敢想象如果掉进水中呼救无门后果会怎样...世界晚安...希望今晚不要作溺水的噩梦",2
献之乃上疏曰：“故太傅臣安少振玄风，道誉泮溢。,3
这不是一般的有才，谁能想到还可以这么整？？？,4
我不行了，我要肝硬化了…看了恐怖片害怕怎么办，刷觉醒副本啊，充满了力量,2
